Client Code,Code,Name,last time stock,latest stock,sold,Price,Period
GH98907,1002496,SHOCK ABSORBER ECHO 2000 SCP10 BACK(GOR),20,20,0,310,
GH98907,1002499,SHOCK ABSORBER BACK ECHO 2000 NCP10 (SHIELD),0,0,0,310,
GH98770,1002499,SHOCK ABSORBER BACK ECHO 2000 NCP10 (SHIELD),0,0,0,310,
GH98816,1002499,SHOCK ABSORBER BACK ECHO 2000 NCP10 (SHIELD),10,10,0,275,
GH98673,1002499,SHOCK ABSORBER BACK ECHO 2000 NCP10 (SHIELD),0,0,0,275,
GH98673,1002527,SHOCK ABSORBER BACK NISSAN VERSA/TIIDA C11/MARCH 2005 K12 (SHIELD),0,0,0,275,
GH98907,1002527,SHOCK ABSORBER BACK NISSAN VERSA/TIIDA C11/MARCH 2005 K12 (SHIELD),0,0,0,275,
GH98816,1002527,SHOCK ABSORBER BACK NISSAN VERSA/TIIDA C11/MARCH 2005 K12 (SHIELD),10,10,0,275,
GH98770,1002527,SHOCK ABSORBER BACK NISSAN VERSA/TIIDA C11/MARCH 2005 K12 (SHIELD),0,0,0,275,
GH98673,1002533,SHOCK ABSORBER BACK YARIS 2005 KSP90 (SHIELD),0,0,0,275,
GH98770,1002533,SHOCK ABSORBER BACK YARIS 2005 KSP90 (SHIELD),0,0,0,275,
GH98907,1002533,SHOCK ABSORBER BACK YARIS 2005 KSP90 (SHIELD),0,0,0,340,
GH98816,1002533,SHOCK ABSORBER BACK YARIS 2005 KSP90 (SHIELD),20,14,6,340,
,1002533,SHOCK ABSORBER BACK YARIS 2005 KSP90 (SHIELD),0,14,0,340,
GH98673,1002555,SHOCK ABSORBER BACK PRADO 1996 KZJ95/4RUNNER (GAS) (SHIELD),10,10,0,340,
GH98770,1002559,SHOCK ABSORBER FR (2639) (GAS) (SHIELD),0,0,0,340,
GH98673,1002559,SHOCK ABSORBER FR (2639) (GAS) (SHIELD),6,6,0,340,
GH98907,1002559,SHOCK ABSORBER FR (2639) (GAS) (SHIELD),0,0,0,190,
GH98816,1002559,SHOCK ABSORBER FR (2639) (GAS) (SHIELD),12,8,4,260,
GH98673,1002568,SHOCK ABSORBER BACK PRADO 2002/2009 KZJ120/KDJ150 (SHIELD),0,0,0,260,
GH98907,1002568,SHOCK ABSORBER BACK PRADO 2002/2009 KZJ120/KDJ150 (SHIELD),0,0,0,260,
GH98816,1002568,SHOCK ABSORBER BACK PRADO 2002/2009 KZJ120/KDJ150 (SHIELD),6,4,2,200,
GH98673,1002582,SHOCK ABSORBER BACK HILUX VIGO 4WD KUN25 (GAS) (SHIELD),0,0,0,270,
GH98816,1002582,SHOCK ABSORBER BACK HILUX VIGO 4WD KUN25 (GAS) (SHIELD),6,2,4,270,
GH98907,1002582,SHOCK ABSORBER BACK HILUX VIGO 4WD KUN25 (GAS) (SHIELD),8,8,0,185,
GH98770,1002584,SHOCK ABSORBER BACK RAV4 2008 ACA33 (SHIELD),0,0,0,185,
GH98907,1002584,SHOCK ABSORBER BACK RAV4 2008 ACA33 (SHIELD),0,0,0,185,
GH98673,1002584,SHOCK ABSORBER BACK RAV4 2008 ACA33 (SHIELD),0,0,0,185,
GH98816,1002584,SHOCK ABSORBER BACK RAV4 2008 ACA33 (SHIELD),12,8,4,155,
GH98673,1002587,SHOCK ABSORBER BACK COROLLA 2009 S.A. MODEL ZRE152 (SHIELD),10,10,0,155,
GH98816,1002587,SHOCK ABSORBER BACK COROLLA 2009 S.A. MODEL ZRE152 (SHIELD),14,12,2,180,
GH98907,1002587,SHOCK ABSORBER BACK COROLLA 2009 S.A. MODEL ZRE152 (SHIELD),8,8,0,180,
,1002587,SHOCK ABSORBER BACK COROLLA 2009 S.A. MODEL ZRE152 (SHIELD),0,12,0,180,
GH98816,1003150,SHOCK ABSORBER FR (2613) COMMERCIAL CAR (SHIELD),6,6,0,185,
GH98816,1003154,SHOCK ABSORBER BACK (2027) COMMERCIAL CAR/HILUX VIGO (SHIELD),20,20,0,185,
GH98770,1003159,SHOCK ABSORBER BACK (2010) HARDBODY D22 (BIG TUBE) ( SHIELD),0,0,0,185,
GH98673,1003159,SHOCK ABSORBER BACK (2010) HARDBODY D22 (BIG TUBE) ( SHIELD),4,4,0,185,
,1003159,SHOCK ABSORBER BACK (2010) HARDBODY D22 (BIG TUBE) ( SHIELD),0,#N/A,0,160,
GH98816,1003159,SHOCK ABSORBER BACK (2010) HARDBODY D22 (BIG TUBE) ( SHIELD),0,#N/A,0,160,
GH98770,1003162,SHOCK ABSORBER FR (2639) COMMERCIAL CAR (SHIELD),0,0,0,270,
GH98907,1003162,SHOCK ABSORBER FR (2639) COMMERCIAL CAR (SHIELD),0,0,0,270,
GH98770,1003166,SHOCK ABSORBER FR (2635) COMMERCIAL/HARDBODY D22(BIG TUBE)  (SHIELD),0,0,0,270,
GH98907,1003166,SHOCK ABSORBER FR (2635) COMMERCIAL/HARDBODY D22(BIG TUBE)  (SHIELD),4,4,0,195,
GH98816,1003166,SHOCK ABSORBER FR (2635) COMMERCIAL/HARDBODY D22(BIG TUBE)  (SHIELD),8,8,0,195,
GH98816,1003720,SHOCK ABSORBER FR LAND CRUISER 2012 AKUA DONKOR VDJ200/TUNDRA (SHIELD),6,6,0,195,
GH98673,1003720,SHOCK ABSORBER FR LAND CRUISER 2012 AKUA DONKOR VDJ200/TUNDRA (SHIELD),0,0,0,195,
GH98816,1003725,SHOCK ABSOEBER FR LAND CRUISER 2000 HZJ105 (SHIELD),2,2,0,210,
GH98816,1003775,SHOCK ABSORBER BACK LAND CRUISER 2000 HZJ105 (SHIELD),6,4,2,210,
GH98673,1002346,SHOCK ABSORBER FR RH YARIS 2005 KSP90 (SHIELD),2,2,0,190,
GH98816,1002346,SHOCK ABSORBER FR RH YARIS 2005 KSP90 (SHIELD),7,4,3,190,
GH98770,1002346,SHOCK ABSORBER FR RH YARIS 2005 KSP90 (SHIELD),0,0,0,150,
GH98907,1002346,SHOCK ABSORBER FR RH YARIS 2005 KSP90 (SHIELD),3,3,0,150,
GH98907,1002347,SHOCK ABSORBER FR LH YARIS 2005 KSP90 (SHIELD),3,3,0,170,
GH98673,1002347,SHOCK ABSORBER FR LH YARIS 2005 KSP90 (SHIELD),2,2,0,170,
GH98770,1002347,SHOCK ABSORBER FR LH YARIS 2005 KSP90 (SHIELD),0,0,0,170,
GH98816,1002347,SHOCK ABSORBER FR LH YARIS 2005 KSP90 (SHIELD),7,4,3,170,
GH98770,1002368,SHOCK ABSORBER FR RH RAV4 2008 ACA33 (SHIELD),0,0,0,195,
GH98816,1002368,SHOCK ABSORBER FR RH RAV4 2008 ACA33 (SHIELD),7,7,0,195,
